listing_id,price,nbhood_full,host_name,last_review,description,room_type
15711,250 dollars,"Manhattan, Upper East Side",D,March 30 2019,2 bedroom - Upper East Side-great for kids,ENTIRE HOME/APT
16326,200 dollars,"Brooklyn, Prospect Heights",Dimitri,January 26 2019,Comfortable 4-bedroom apt in family house.,Entire home/apt
16421,52 dollars,"Manhattan, Hell's Kitchen",Mark,May 16 2019,Your Heaven in Hells Kitchen,Private room
16580,80 dollars,"Manhattan, East Village",Reka,July 01 2019,"Sunny, Modern room in East Village!",Private room
16595,275 dollars,"Brooklyn, Williamsburg",Daniel,June 23 2019,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,Entire home/apt
16821,99 dollars,"Manhattan, East Village",Casey,June 21 2019,Large Room in Amazing East Village Apt,Private room
16974,225 dollars,"Manhattan, East Harlem",Robin,June 23 2019,SpaHa Loft: Enormous and Bright,Entire home/apt
17092,51 dollars,"Manhattan, Hell's Kitchen",Enzo,June 01 2019,Cool Room in Hell's Kitchen,Private room
17693,65 dollars,"Manhattan, Washington Heights",Tye And Etienne,June 18 2019,"HARLEM, NEW YORK WELCOMES YOU!!",Private room
17747,105 dollars,"Brooklyn, Clinton Hill",George,June 26 2019,BLUE TRIM GUEST HOUSE,Private room
18127,190 dollars,"Manhattan, East Village",Josh,January 02 2019,Charming East Village One Bedroom Flat,Entire home/apt
18152,200 dollars,"Manhattan, Upper East Side",Victoria,July 09 2019,Manhattan Room,Private room
18198,70 dollars,"Queens, Woodside",Justin,May 31 2019,Little King of Queens,Private room
18590,95 dollars,"Brooklyn, Fort Greene",Blaise,June 16 2019,Fort Greene Retreat on the Park,Private room
18728,150 dollars,"Manhattan, Chelsea",DAVID And RICK,May 28 2019,Beautiful Meatpacking District Loft,Private room
18764,145 dollars,"Brooklyn, Williamsburg",Lulú,April 22 2019,Cozy 2 BR in Williamsburg,private room
19159,110 dollars,"Manhattan, Harlem",Sybilla,March 23 2019,Spacious luminous apt Upper West NYC,Entire home/apt
19169,285 dollars,"Manhattan, Lower East Side",JoLynn,June 30 2019,Entire 2 Bedroom - Large & Sunny,Entire home/apt
19282,130 dollars,"Brooklyn, Flatbush",Gaia,June 15 2019,"Sunny, Spacious Top Floor Haven",Entire home/apt
19319,94 dollars,"Manhattan, Lower East Side",Ana,April 08 2019,Private room Great Deal at Lower East Side,Private room
20299,60 dollars,"Manhattan, East Village",Edward,June 30 2019,Oh glorious spring!,Private room
20611,85 dollars,"Brooklyn, Williamsburg",Lulú,June 22 2019,Cozy Bedroom in Williamsburg 3 BR,Private room
20724,65 dollars,"Brooklyn, Bushwick",Augustin,May 26 2019,Sunny room+Pvte office in huge loft,Private room
20734,131 dollars,"Brooklyn, Prospect Heights",Sean & Lynette,June 27 2019,Spacious Prospect Heights Apartment,Entire home/apt
20755,98 dollars,"Brooklyn, Clinton Hill",Erica,May 31 2019,"Large Parlor Room, Landmark Home 1 block to PRATT",private room
20853,250 dollars,"Brooklyn, Prospect Heights",Tracy,May 21 2019,2-bed brownstone duplex + garden,Entire home/apt
21293,105 dollars,"Brooklyn, Bushwick",Tyrome,June 18 2019,Sunny Apartment in Artist Home,ENTIRE HOME/APT
21456,140 dollars,"Manhattan, Upper West Side",Dana,July 07 2019,Light-filled classic Central Park,ENTIRE HOME/APT
21794,98 dollars,"Manhattan, Chelsea",Olan,May 01 2019,COZY QUIET room 4 DOOGLERS!,private room
22918,60 dollars,"Manhattan, Harlem",Ssameer Or Trip,January 03 2019,loft bed - near transportation-15min to times sq,Private room
23135,175 dollars,"Brooklyn, Carroll Gardens",Annette,June 24 2019,House On Henry (3rd FLR Suite),Entire home/apt
23686,500 dollars,"Manhattan, West Village",Ann,May 18 2019,2000 SF 3br 2bath West Village private  townhouse,Entire home/apt
24143,101 dollars,"Brooklyn, Williamsburg",Seth,May 29 2019,"Williamsburg‚ÄîSteps To Subway, Private Bath&Balcony",private room
25235,125 dollars,"Brooklyn, Bedford-Stuyvesant",Shelly,June 28 2019,Large 2 Bedroom Great for Groups!,Entire home/apt
25696,100 dollars,"Manhattan, Harlem",Dena,June 23 2019,"1,800 sq foot in luxury building",Private room
26362,59 dollars,"Manhattan, Hell's Kitchen",Luiz,June 16 2019,"Times Square, Safe, Clean and Cozy!",Private room
